z_score,probability,probability_2
-8,1,0
-7.99,1,0
-7.98,1,0
-7.97,1,0
-7.96,1,0
-7.95,1,0
-7.94,1,0
-7.93,1,0
-7.92,1,0
-7.91,1,0
-7.9,1,0
-7.89,1,0
-7.88,1,0
-7.87,1,0
-7.86,1,0
-7.85,1,0
-7.84,1,0
-7.83,1,0
-7.82,1,0
-7.81,1,0
-7.8,1,0
-7.79,1,0
-7.78,1,0
-7.77,1,0
-7.76,1,0
-7.75,1,0
-7.74,1,0
-7.73,1,0
-7.72,1,0
-7.71,1,0
-7.7,1,0
-7.69,1,0
-7.68,1,0
-7.67,1,0
-7.66,1,0
-7.65,1,0
-7.64,1,0
-7.63,1,0
-7.62,1,0
-7.61,1,0
-7.6,1,0
-7.59,1,0
-7.58,1,0
-7.57,1,0
-7.56,1,0
-7.55,1,0
-7.54,1,0
-7.53,1,0
-7.52,1,0
-7.51,1,0
-7.5,1,0
-7.49,1,0
-7.48,1,0
-7.47,1,0
-7.46,1,0
-7.45,1,0
-7.44,1,0
-7.43,1,0
-7.42,1,0
-7.41,1,0
-7.4,1,0
-7.39,1,0
-7.38,1,0
-7.37,1,0
-7.36,1,0
-7.35,1,0
-7.34,1,0
-7.33,1,0
-7.32,1,0
-7.31,1,0
-7.3,1,0
-7.29,1,0
-7.28,1,0
-7.27,1,0
-7.26,1,0
-7.25,1,0
-7.24,1,0
-7.23,1,0
-7.22,1,0
-7.21,1,0
-7.2,1,0
-7.19,1,0
-7.18,1,0
-7.17,1,0
-7.16,1,0
-7.15,1,0
-7.14,1,0
-7.13,1,0
-7.12,1,0
-7.11,1,0
-7.1,1,0
-7.09,1,0
-7.08,1,0
-7.07,1,0
-7.06,1,0
-7.05,1,0
-7.04,1,0
-7.03,1,0
-7.02,1,0
-7.01,1,0
-7,1,0
-6.99,1,0
-6.98,1,0
-6.97,1,0
-6.96,1,0
-6.95,1,0
-6.94,1,0
-6.93,1,0
-6.92,1,0
-6.91,1,0
-6.9,1,0
-6.89,1,0
-6.88,1,0
-6.87,1,0
-6.86,1,0
-6.85,1,0
-6.84,1,0
-6.83,1,0
-6.82,1,0
-6.81,1,0
-6.8,1,0
-6.79,1,0
-6.78,1,0
-6.77,1,0
-6.76,1,0
-6.75,1,0
-6.74,1,0
-6.73,1,0
-6.72,1,0
-6.71,1,0
-6.7,1,0
-6.69,1,0
-6.68,1,0
-6.67,1,0
-6.66,1,0
-6.65,1,0
-6.64,1,0
-6.63,1,0
-6.62,1,0
-6.61,1,0
-6.6,1,0
-6.59,1,0
-6.58,1,0
-6.57,1,0
-6.56,1,0
-6.55,1,0
-6.54,1,0
-6.53,1,0
-6.52,1,0
-6.51,1,0
-6.5,1,0
-6.49,1,0
-6.48,1,0
-6.47,1,0
-6.46,1,0
-6.45,1,0
-6.44,1,0
-6.43,1,0
-6.42,1,0
-6.41,1,0
-6.4,1,0
